                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.2087,                 1.1869,                   1.38,                0.78533,                0.62027,                0.71443,                0.48807,                 1.1065,                0.95395,                 1.2897,               0.008449,               0.008449,               0.008449
                     49,                 1.2095,                 1.1861,                 1.3773,                0.78728,                0.62047,                0.71473,                0.48883,                 1.1054,                0.95309,                 1.2889,               0.008416,               0.008416,               0.008416
                     50,                 1.2061,                 1.1845,                  1.374,                0.78717,                 0.6216,                0.71486,                  0.489,                 1.1046,                0.95249,                  1.288,               0.008383,               0.008383,               0.008383
                     51,                  1.204,                 1.1766,                 1.3727,                0.78575,                0.62229,                0.71487,                0.48941,                 1.1036,                0.95202,                 1.2869,                0.00835,                0.00835,                0.00835
                     52,                 1.2036,                 1.1768,                 1.3716,                0.78503,                0.62339,                0.71521,                0.48964,                  1.103,                0.95141,                 1.2859,               0.008317,               0.008317,               0.008317
                     53,                 1.2037,                 1.1748,                 1.3677,                0.78366,                0.62168,                0.71529,                0.49027,                 1.1021,                0.95066,                 1.2847,               0.008284,               0.008284,               0.008284
                     54,                 1.2021,                 1.1705,                 1.3645,                0.78406,                0.62323,                0.71562,                0.49045,                 1.1016,                0.94973,                  1.284,               0.008251,               0.008251,               0.008251
                     55,                  1.197,                 1.1677,                 1.3619,                0.78109,                0.62531,                0.71564,                0.49068,                 1.1005,                0.94943,                 1.2829,               0.008218,               0.008218,               0.008218
                     56,                 1.1978,                  1.164,                 1.3587,                0.78223,                0.62456,                0.71579,                0.49087,                 1.1002,                0.94908,                  1.282,               0.008185,               0.008185,               0.008185
                     57,                 1.1987,                 1.1628,                 1.3593,                0.78094,                0.62364,                0.71616,                 0.4914,                 1.0999,                0.94903,                 1.2812,               0.008152,               0.008152,               0.008152
                     58,                 1.1936,                  1.162,                 1.3562,                0.78293,                0.62317,                0.71664,                0.49172,                 1.0998,                0.94872,                 1.2805,               0.008119,               0.008119,               0.008119
                     59,                 1.1944,                 1.1599,                 1.3546,                0.77951,                0.62498,                0.71651,                 0.4917,                 1.0996,                0.94845,                 1.2799,               0.008086,               0.008086,               0.008086
                     60,                 1.1917,                 1.1546,                 1.3518,                0.78167,                0.62323,                0.71712,                0.49185,                 1.0993,                0.94814,                  1.279,               0.008053,               0.008053,               0.008053
                     61,                 1.1929,                 1.1555,                 1.3514,                0.78061,                0.62429,                0.71716,                0.49201,                 1.0986,                0.94797,                  1.278,                0.00802,                0.00802,                0.00802
                     62,                 1.1893,                 1.1522,                 1.3497,                0.77973,                0.62396,                 0.7171,                0.49226,                 1.0987,                0.94791,                 1.2775,               0.007987,               0.007987,               0.007987
                     63,                 1.1902,                 1.1544,                 1.3487,                0.77997,                0.62376,                 0.7169,                 0.4923,                 1.0985,                0.94763,                 1.2769,               0.007954,               0.007954,               0.007954
                     64,                 1.1885,                  1.149,                  1.346,                0.77856,                0.62562,                0.71658,                0.49197,                 1.0986,                 0.9473,                 1.2765,               0.007921,               0.007921,               0.007921
                     65,                 1.1863,                 1.1489,                 1.3433,                0.78234,                 0.6242,                 0.7165,                0.49209,                 1.0988,                0.94712,                 1.2761,               0.007888,               0.007888,               0.007888
                     66,                 1.1836,                 1.1476,                 1.3416,                0.78787,                0.62048,                0.71572,                0.49187,                 1.0981,                0.94781,                 1.2751,               0.007855,               0.007855,               0.007855
                     67,                 1.1846,                  1.145,                 1.3417,                0.78677,                0.62084,                0.71614,                0.49174,                 1.0978,                0.94815,                 1.2742,               0.007822,               0.007822,               0.007822
                     68,                  1.183,                  1.142,                 1.3388,                0.78915,                0.62106,                0.71651,                0.49178,                 1.0978,                0.94857,                 1.2736,               0.007789,               0.007789,               0.007789
                     69,                 1.1805,                 1.1413,                 1.3377,                0.78888,                0.62077,                0.71613,                0.49175,                 1.0977,                0.94866,                 1.2731,               0.007756,               0.007756,               0.007756
                     70,                 1.1834,                 1.1399,                 1.3373,                0.78659,                   0.62,                0.71625,                0.49173,                 1.0972,                0.94865,                 1.2722,               0.007723,               0.007723,               0.007723
                     71,                  1.179,                 1.1364,                  1.335,                0.78703,                 0.6217,                0.71604,                0.49229,                 1.0968,                0.94889,                 1.2714,                0.00769,                0.00769,                0.00769
                     72,                 1.1769,                 1.1348,                 1.3323,                0.78971,                0.62061,                0.71569,                0.49211,                 1.0966,                0.94946,                 1.2706,               0.007657,               0.007657,               0.007657
                     73,                 1.1768,                 1.1326,                 1.3324,                0.78873,                0.62097,                0.71541,                0.49228,                 1.0962,                   0.95,                 1.2698,               0.007624,               0.007624,               0.007624
                     74,                 1.1775,                 1.1345,                 1.3319,                0.79008,                0.61969,                0.71536,                0.49236,                 1.0964,                0.95017,                 1.2696,               0.007591,               0.007591,               0.007591
                     75,                 1.1769,                 1.1311,                 1.3299,                0.79177,                 0.6197,                0.71538,                0.49266,                 1.0962,                0.95066,                  1.269,               0.007558,               0.007558,               0.007558
                     76,                 1.1771,                 1.1286,                 1.3288,                0.79153,                0.62013,                0.71534,                0.49292,                 1.0958,                0.95159,                  1.268,               0.007525,               0.007525,               0.007525
                     77,                 1.1721,                 1.1255,                 1.3272,                0.78966,                0.62166,                0.71562,                 0.4931,                 1.0956,                0.95208,                 1.2674,               0.007492,               0.007492,               0.007492
                     78,                 1.1737,                 1.1279,                 1.3254,                0.78868,                0.62095,                0.71503,                0.49283,                 1.0953,                0.95227,                 1.2667,               0.007459,               0.007459,               0.007459
                     79,                 1.1729,                 1.1303,                 1.3267,                0.78991,                0.62216,                0.71514,                0.49311,                 1.0952,                0.95247,                 1.2663,               0.007426,               0.007426,               0.007426
                     80,                 1.1723,                 1.1228,                 1.3237,                0.78743,                0.62438,                0.71506,                0.49319,                 1.0951,                0.95321,                 1.2659,               0.007393,               0.007393,               0.007393
                     81,                 1.1748,                  1.132,                 1.3387,                0.78973,                0.62218,                0.71533,                0.49393,                 1.0937,                0.95246,                 1.2652,                0.00736,                0.00736,                0.00736
                     82,                 1.1835,                  1.145,                  1.344,                0.78525,                0.62727,                 0.7162,                0.49465,                 1.0927,                 0.9497,                 1.2641,               0.007327,               0.007327,               0.007327
                     83,                 1.1846,                 1.1475,                 1.3434,                0.78421,                0.62792,                0.71651,                0.49506,                 1.0921,                0.94779,                 1.2634,               0.007294,               0.007294,               0.007294
                     84,                 1.1841,                 1.1421,                 1.3411,                0.78608,                0.62765,                0.71715,                0.49558,                 1.0912,                0.94593,                 1.2625,               0.007261,               0.007261,               0.007261
                     85,                 1.1808,                 1.1433,                 1.3394,                0.78796,                0.62801,                0.71751,                0.49624,                 1.0903,                0.94439,                 1.2616,               0.007228,               0.007228,               0.007228
