                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0789,                0.97724,                 1.2743,                0.82604,                0.67283,                0.77206,                0.55269,                0.99428,                0.79619,                 1.2067,               0.007855,               0.007855,               0.007855
                     67,                 1.0752,                0.97088,                 1.2714,                0.82674,                0.67516,                0.77333,                0.55342,                0.99307,                0.79356,                 1.2045,               0.007822,               0.007822,               0.007822
                     68,                 1.0735,                0.97343,                 1.2721,                0.82633,                0.67454,                  0.773,                0.55434,                 0.9921,                 0.7918,                 1.2026,               0.007789,               0.007789,               0.007789
                     69,                 1.0721,                0.97262,                 1.2709,                 0.8252,                0.67517,                0.77358,                 0.5545,                0.99066,                0.79015,                 1.2006,               0.007756,               0.007756,               0.007756
                     70,                 1.0695,                0.96664,                 1.2682,                0.82435,                0.67809,                0.77417,                0.55549,                0.98943,                0.78868,                 1.1991,               0.007723,               0.007723,               0.007723
                     71,                 1.0681,                0.96463,                 1.2641,                0.82594,                0.67722,                 0.7745,                0.55557,                0.98829,                0.78778,                 1.1967,                0.00769,                0.00769,                0.00769
                     72,                 1.0668,                0.96519,                 1.2645,                0.82654,                0.67566,                0.77553,                 0.5565,                0.98712,                0.78631,                 1.1946,               0.007657,               0.007657,               0.007657
                     73,                 1.0686,                0.96422,                 1.2649,                0.82846,                0.67616,                0.77575,                0.55698,                0.98635,                0.78529,                 1.1927,               0.007624,               0.007624,               0.007624
                     74,                 1.0651,                0.96137,                 1.2635,                0.82962,                 0.6759,                0.77597,                0.55742,                0.98565,                0.78448,                 1.1913,               0.007591,               0.007591,               0.007591
                     75,                 1.0656,                0.96262,                 1.2614,                0.82478,                0.67736,                0.77602,                0.55792,                0.98479,                0.78346,                 1.1904,               0.007558,               0.007558,               0.007558
                     76,                 1.0666,                0.95886,                 1.2615,                 0.8269,                 0.6769,                0.77653,                0.55836,                0.98376,                0.78219,                 1.1886,               0.007525,               0.007525,               0.007525
                     77,                 1.0656,                0.95716,                 1.2592,                0.82812,                0.67624,                0.77694,                0.55888,                0.98274,                0.78033,                  1.187,               0.007492,               0.007492,               0.007492
                     78,                 1.0664,                0.96202,                 1.2593,                0.82707,                0.67771,                0.77745,                0.55983,                0.98187,                0.77847,                 1.1852,               0.007459,               0.007459,               0.007459
